Carrera,Puntuacion_Empatia_Interaccion_Social
Administración Pública,6.6
Análisis de Datos Avanzado (Big Data),3.3
Antropología,7.9
Arquitectura,7.2
Arqueología,4.0
Agronomía,5.5
Astronomía,2.0
Bioingeniería,3.7
Biología,1.8
Bioquímica,1.9
Contador Auditor,5.1
Data Science,3.5
Data Science y Machine Learning,3.4
Derecho,7.6
Diseño,7.1
Economía,6.0
Educación Física,7.5
Educación Parvularia,9.4
Enfermería,9.7
Estadística,3.0
Física,2.5
Fonoaudiología,9.6
Geofísica,2.8
Geología,1.3
Ingeniería Acústica,4.0
Ingeniería Aeronáutica,2.5
Ingeniería Ambiental,5.5
Ingeniería en Acuicultura,5.5
Ingeniería en Alimentos,5.6
Ingeniería en Bioinformática,3.6
Ingeniería en Biomasa,3.5
Ingeniería en Biomédica,6.5
Ingeniería en Biorremediación,5.4
Ingeniería en Cerámica,3.0
Ingeniería en Ciencia de los Materiales,3.2
Ingeniería en Conservación de la Biodiversidad,6.1
Ingeniería en Energía Eólica,2.1
Ingeniería en Energía Solar,2.2
Ingeniería en Energías No Convencionales,2.3
Ingeniería en Explotación de Minas,1.0
Ingeniería en Genómica,3.8
Ingeniería en Geotermia,2.0
Ingeniería en Gestión de Desastres,6.4
Ingeniería en Higiene y Seguridad Ocupacional,5.8
Ingeniería en Materiales,3.0
Ingeniería en Medio Ambiente,6.2
Ingeniería en Metalurgia,2.9
Ingeniería en Metalurgia Extractiva,2.7
Ingeniería en Minerales,2.6
Ingeniería en Nanotecnología,3.5
Ingeniería en Petróleo y Gas,4.5
Ingeniería en Plásticos,3.0
Ingeniería en Polímeros,3.0
Ingeniería en Procesos Mineros,2.5
Ingeniería en Procesos Químicos,3.5
Ingeniería en Protección Civil,6.3
Ingeniería en Recursos Hídricos,5.9
Ingeniería en Recursos Naturales,5.2
Ingeniería en Seguridad Industrial,5.7
Ingeniería en Seguridad Minera,1.1
Ingeniería en Tejidos,4.0
Ingeniería Forestal,6.0
Ingeniería Naval,2.4
Ingeniería Civil Eléctrica,2.8
Ingeniería Civil en Computación,3.0
Ingeniería Civil en Computación e Informática,3.2
Ingeniería Civil en Construcción,4.8
Ingeniería Civil en Energía,2.7
Ingeniería Civil en Geografía,4.6
Ingeniería Civil en Geomensura y Cartografía,4.4
Ingeniería Civil en Hidráulica,4.5
Ingeniería Civil en Informática,3.1
Ingeniería Civil en Matemáticas,3.0
Ingeniería Civil en Minas,1.2
Ingeniería Civil en Obras Civiles,4.7
Ingeniería Civil en Química,3.5
Ingeniería Civil en Telecomunicaciones,2.9
Ingeniería Civil Industrial,5.3
Ingeniería Civil Mecánica,2.6
Ingeniería Civil Metalúrgica,3.0
Ingeniería Civil Química,3.5
Ingeniería Comercial,6.7
Kinesiología,9.4
Licenciatura en Antropología Digital,7.4
Licenciatura en Arqueología,3.8
Licenciatura en Arqueología Digital,6.8
Licenciatura en Artes Escénicas,7.3
Licenciatura en Artes Plásticas,5.0
Licenciatura en Astronomía,2.0
Licenciatura en Biología,1.7
Licenciatura en Estudios Internacionales,6.9
Licenciatura en Filosofía,4.0
Licenciatura en Física,2.5
Licenciatura en Geología,1.4
Licenciatura en Historia,3.9
Licenciatura en Historia Digital,7.0
Licenciatura en Letras,4.2
Licenciatura en Lingüística,4.1
Licenciatura en Matemáticas,2.5
Licenciatura en Música,4.3
Licenciatura en Química,1.6
Licenciatura en Sociología Computacional,7.5
Matemáticas,2.5
Medicina,9.5
Meteorología,4.5
Nutrición y Dietética,9.3
Obstetricia y Puericultura,9.6
Oceanografía,3.5
Odontología,9.3
Pedagogía en Artes Visuales,9.1
Pedagogía en Ciencias Naturales,8.5
Pedagogía en Cine,8.1
Pedagogía en Danza,8.2
Pedagogía en Educación Básica,9.5
Pedagogía en Educación Diferencial,9.5
Pedagogía en Educación Física Digital,9.2
Pedagogía en Educación Musical,8.9
Pedagogía en Educación Técnico Profesional,8.0
Pedagogía en Filosofía,8.3
Pedagogía en Historia y Ciencias Sociales,8.8
Pedagogía en Inglés,8.6
Pedagogía en Lengua Castellana y Literatura,8.7
Pedagogía en Matemáticas Computacionales,4.9
Pedagogía en Matemáticas y Computación,5.0
Pedagogía en Religión,8.4
Pedagogía en Teatro,8.5
Periodismo,7.7
Psicología,10.0
Química,1.5
Química y Farmacia,8.0
Sociología,7.8
Terapia Ocupacional,9.7
Trabajo Social,9.8
Veterinaria,9.0
