Profesión,A_t (Automatización),R_h (Habilidades Humanas),C_i (Integración con IA),ISIA (5 años),Categoría de Impacto,Prof. equivalentes (Núcleo),Prof. equivalentes (Complementarias),SIES/CNED Núcleo,CINE-F Núcleo,SIES/CNED Complementarias,CINE-F Complementarias,Explicación de Valores
Medicina,2,9,8,-5.5,Expansión y crecimiento / Bajo riesgo,"Medicina Familiar;Cirugía;Medicina Interna","Enfermería;Tecnología Médica",,,,"Tareas clínicas requieren juicio, ética y relación paciente; IA apoya diagnóstico y gestión, baja sustitución."
Enfermería,3,9,7,-3.8,Expansión y crecimiento / Bajo riesgo,"Enfermería Comunitaria;Enfermería Intensiva","Obstetricia;Técnico en Enfermería",,,,"Alta carga de atención directa y cuidado; IA mejora monitorización y workflows, pero no reemplaza rol humano."
Odontología,3,8,7,-3.0,Expansión y crecimiento / Bajo riesgo,"Odontología General;Ortodoncia","Higiene Dental;Tecnología Médica",,,,"Intervención manual y relación clínica; IA y CAD/CAM aumentan productividad pero sustitución baja."
Psicología,3,9,7,-1.8,Expansión y crecimiento / Bajo riesgo,"Psicología Clínica;Psicología Organizacional","Trabajo Social;Pedagogía",,,,"Relación terapéutica y empatía dominan; IA ofrece herramientas de apoyo y evaluación."
Tecnología Médica,4,7,8,-2.5,Expansión y crecimiento / Bajo riesgo,"Imagenología;Laboratorio Clínico","Medicina;Ingeniería Biomédica",,,,"Alta interacción con equipos y análisis de datos; IA mejora interpretación pero requiere técnica humana."
Kinesiología,3,8,6,-2.0,Expansión y crecimiento / Bajo riesgo,"Kinesiología Respiratoria;Rehabilitación","Terapia Ocupacional;Enfermería",,,,"Tratamiento manual y adaptación paciente; IA apoya planes de ejercicio y seguimiento."
Fonoaudiología,3,8,6,-1.5,Expansión y crecimiento / Bajo riesgo,"Audiología;Rehabilitación del Lenguaje","Psicopedagogía;Terapia Ocupacional",,,,"Intervenciones personalizadas; herramientas digitales ayudan diagnóstico y telepráctica."
Nutrición y Dietética,4,7,7,-1.2,Oportunidad controlada / Acelerador,"Nutrición Clínica;Nutrición Comunitaria","Tecnología Médica;Psicología",,,,"Personalización apoyada por IA (dietas, análisis), pero evaluación clínica y adherencia son humanas."
Obstetricia y Puericultura,3,9,6,-2.8,Expansión y crecimiento / Bajo riesgo,"Obstetricia Clínica;Perinatología","Enfermería;Kinesiología",,,,"Cuidado perinatal con fuerte componente humano; IA apoya monitoreo fetal y logística."
Terapia Ocupacional,3,9,6,-1.9,Expansión y crecimiento / Bajo riesgo,"Rehabilitación;Ergonomía","Kinesiología;Psicología",,,,"Intervención personalizada y adaptativa; IA ofrece asistentes y seguimiento remoto."
Química y Farmacia,5,6,8,-0.5,Transformación híbrida / Co-piloto,"Farmacia Comunitaria;Farmacia Hospitalaria","Bioquímica;Química Analítica",,,,"Automatización en dispensación y análisis; IA en descubrimiento y adherencia; reemplazo limitado."
Bioquímica,5,5,8,0.0,Transformación híbrida / Co-piloto,"Biología Molecular;Biotecnología","Química;Farmacia",,,,"Laboratorio cada vez más automatizado; IA acelera análisis y descubrimiento, pero supervisión humana persiste."
Biología Marina,3,6,6,-0.8,Oportunidad controlada / Acelerador,"Oceanografía;Ecología Marina","Geología;Ingeniería en Acuicultura",,,,"Trabajo de campo y análisis requieren juicio; IA ayuda en modelado y sensores remotos."
Optometría,3,7,6,-1.0,Oportunidad controlada / Acelerador,"Optometría Clínica;Contactología","Oftalmología;Tecnología Médica",,,,"Evaluación clínica con herramientas digitales; IA ayuda en screening y diagnósticos tempranos."
Medicina Veterinaria,3,8,7,-2.2,Expansión y crecimiento / Bajo riesgo,"Clínica Veterinaria;Cirugía Veterinaria","Zootecnia;Biología",,,,"Atención animal y procedimientos requieren habilidades manuales y juicio; IA apoya diagnóstico y gestión."
Ingeniería Civil,5,5,7,0.2,Transformación híbrida / Co-piloto,"Estructuras;Geotecnia","Arquitectura;Topografía",,,,"Diseño asistido por IA; muchas tareas repetitivas automatizables, pero responsabilidad y juicio quedan humanos."
Ingeniería Industrial,6,5,8,1.2,Alta reconversión / Riesgo moderado,"Ingeniería de Procesos;Logística","Ingeniería Comercial;Estadística",,,,"Optimización y planificaciones fácilmente automatizables; rol humano se desplaza a diseño estratégico."
Ingeniería en Informática,7,5,9,0.8,Transformación híbrida / Co-piloto,"Ingeniería de Software;Ciencias de la Computación","Ingeniería en Telecomunicaciones;Matemáticas",,,,"Alto uso de IA como herramienta; partes rutinarias de programación se automatizan; necesidad de supervisión y diseño."
Ingeniería Comercial,5,6,8,0.6,Transformación híbrida / Co-piloto,"Administración de Empresas;Economía","Marketing;Contabilidad",,,,"Análisis y reporting automatizables; estrategia y negociación conservan componente humano."
Ingeniería en Minas,6,5,7,1.5,Alta reconversión / Riesgo moderado,"Geología;Ingeniería de Procesos","Ingeniería Civil;Ingeniería en Electricidad",,,,"Operaciones y planificación con automatización; campo y toma de decisiones estratégicas requieren humanos."
Ingeniería Química,6,5,8,1.0,Alta reconversión / Riesgo moderado,"Procesos Químicos;Ingeniería de Plantas","Bioquímica;Ingeniería en Alimentos",,,,"Control de procesos y simulaciones automatizables; diseño y seguridad siguen humanos."
Ingeniería en Electricidad,6,5,8,1.0,Alta reconversión / Riesgo moderado,"Sistemas Eléctricos;Electrónica","Ingeniería en Telecomunicaciones;Mecánica",,,,"Automatización en control y diseño; mantenimiento y seguridad requieren intervención humana."
Ingeniería en Mecánica,6,5,7,1.1,Alta reconversión / Riesgo moderado,"Diseño Mecánico;Mantenimiento","Ingeniería Industrial;Materiales",,,,"Diseño asistido y fabricación automatizada; diagnóstico y reparación conservan rol humano."
Ingeniería en Construcción,5,5,7,0.9,Transformación híbrida / Co-piloto,"Gestión de Obras;Topografía","Arquitectura;Ingeniería Civil",,,,"Planificación y seguimiento con IA; construcción en sitio y resolución de imprevistos sigue humana."
Ingeniería en Alimentos,5,5,8,0.6,Transformación híbrida / Co-piloto,"Tecnología de Alimentos;Control de Calidad","Ingeniería Química;Agronomía",,,,"Procesos y control automatizables; innovación y seguridad alimentaria requieren humanos."
Ingeniería en Telecomunicaciones,7,5,9,0.9,Transformación híbrida / Co-piloto,"Redes;Sistemas de Comunicación","Ingeniería en Informática;Electricidad",,,,"Alta automatización posible, pero diseño de redes y seguridad necesitan humanos; IA como herramienta clave."
Ingeniería en Biotecnología,5,5,8,0.2,Transformación híbrida / Co-piloto,"Biotecnología Aplicada;Bioinformática","Bioquímica;Biología",,,,"Investigación y automatización de laboratorio; supervisión y ética son humanas."
Ingeniería en Materiales,5,5,7,0.5,Transformación híbrida / Co-piloto,"Ciencia de Materiales;Ensayos","Ingeniería Química;Física",,,,"Desarrollo y testing cada vez más asistido; interpretación y innovación persisten humanas."
Ingeniería en Ambiental,5,6,7,0.0,Transformación híbrida / Co-piloto,"Ingeniería Sanitaria;Gestión Ambiental","Biología;Geología",,,,"Monitoreo y modelado automatizables; diseño de políticas y campo requieren juicio humano."
Ingeniería en Prevención de Riesgos,4,6,8,0.3,Transformación híbrida / Co-piloto,"Seguridad Industrial;Higiene","Ingeniería Civil;Salud Ocupacional",,,,"Sistemas de control y detección automatizados; auditoría y cultura de seguridad requieren intervención humana."
Derecho,4,8,7,0.7,Transformación híbrida / Co-piloto,"Abogacía Civil;Abogacía Penal","Notariado;Administración Pública",,,,"Investigación y redacción asistida por IA; interpretación legal y ética siguen humanas."
Trabajo Social,3,9,6,-1.0,Expansión y crecimiento / Bajo riesgo,"Asistente Social Clínico;Trabajo Comunitario","Psicología;Pedagogía",,,,"Alta dependencia de habilidades interpersonales; IA apoya gestión de casos y datos."
Sociología,4,7,6,0.2,Transformación híbrida / Co-piloto,"Investigación Social;Análisis de Políticas","Antropología;Ciencia Política",,,,"Análisis de grandes datos sociológicos apoyado por IA, pero interpretación crítica humana esencial."
Antropología,3,8,5,0.0,Transformación híbrida / Co-piloto,"Antropología Social;Arqueología","Sociología;Historia",,,,"Trabajo de campo y análisis cualitativo difícil de automatizar; herramientas digitales ayudan procesamiento."
Ciencia Política,4,7,6,0.3,Transformación híbrida / Co-piloto,"Análisis Político;Políticas Públicas","Sociología;Relaciones Internacionales",,,,"Modelos y análisis asistidos por IA; juicio político y contexto requieren humanos."
Relaciones Internacionales,4,8,6,0.1,Transformación híbrida / Co-piloto,"Diplomacia;Comercio Exterior","Ciencia Política;Economía",,,,"Negociación y contexto cultural predominan; IA apoya análisis y simulaciones."
Periodismo,5,6,7,1.4,Alta reconversión / Riesgo moderado,"Reportería;Edición","Comunicación Audiovisual;Marketing",,,,"Generación de textos y resúmenes automatizables; verificación, investigación y credibilidad siguen humanas."
Psicopedagogía,3,9,6,-1.0,Expansión y crecimiento / Bajo riesgo,"Intervención Educativa;Evaluación","Pedagogía;Psicología",,,,"Intervenciones y acompañamiento humanos; IA apoya diagnóstico y material adaptativo."
Filosofía,2,9,4,-0.5,Oportunidad controlada / Acelerador,"Investigación Filosófica;Ética","Historia;Sociología",,,,"Análisis crítico y reflexión difícil de automatizar; IA puede asistir en búsquedas y corpus."
Historia,3,8,5,-0.6,Oportunidad controlada / Acelerador,"Investigación Histórica;Archivística","Arqueología;Geografía",,,,"Interpretación y contextualización humana; IA ayuda en digitalización y análisis de texto."
Geografía,4,7,7,-0.2,Transformación híbrida / Co-piloto,"Ordenamiento Territorial;Geomática","Geología;Urbanismo",,,,"Sistemas de información geográfica automatizables; interpretación espacial requiere expertos."
Arqueología,3,8,5,-0.7,Oportunidad controlada / Acelerador,"Arqueología de Campo;Conservación","Historia;Antropología",,,,"Trabajo de campo y conservación requieren habilidades humanas; IA apoya análisis y reconstrucción 3D."
Bibliotecología,4,7,7,0.5,Transformación híbrida / Co-piloto,"Gestión de Bibliotecas;Archivística","Traducción;Documentación",,,,"Catalogación y búsquedas automatizables; mediación cultural y servicios comunitarios permanecen humanos."
Traducción e Interpretación,6,6,8,1.5,Alta reconversión / Riesgo moderado,"Traducción Técnica;Interpretación Simultánea","Lingüística;Comunicación",,,,"Traducción automática ya es competente en muchos textos; interpretación simultánea y matices culturales requieren humanos."
Lingüística,3,7,7,0.2,Transformación híbrida / Co-piloto,"Análisis del Lenguaje;Filología","Traducción;Psicología",,,,"Análisis de corpora automatizable; investigación teórica y contexto cultural siguen humanos."
Pedagogía en Educación Básica,2,10,6,-3.0,Expansión y crecimiento / Bajo riesgo,"Pedagogía en Educación Media;Educación Diferencial","Psicología;Orientación Educacional",,,,"Relación docente-alumno y manejo emocional son centrales; IA apoya contenidos adaptativos."
Pedagogía en Educación Media,2,9,6,-2.5,Expansión y crecimiento / Bajo riesgo,"Pedagogía en Básica;Pedagogía en Inglés","Psicopedagogía;Orientación Educacional",,,,"Docencia y manejo de aula mantienen alta dependencia humana; IA como apoyo pedagógico."
Pedagogía en Educación Parvularia,2,10,5,-3.5,Expansión y crecimiento / Bajo riesgo,"Educación Diferencial;Pedagogía en Básica","Psicopedagogía;Trabajo Social",,,,"Cuidado y estimulación temprana requieren interacción humana; IA no sustituye vínculo afectivo."
Pedagogía en Inglés,3,9,7,-1.5,Expansión y crecimiento / Bajo riesgo,"Traducción;Enseñanza de Idiomas","Lingüística;Comunicación",,,,"Enseñanza de idiomas requiere interacción humana; IA ayuda con práctica y recursos."
Pedagogía en Historia y Geografía,3,9,6,-1.8,Expansión y crecimiento / Bajo riesgo,"Historia;Geografía","Pedagogía;Sociología",,,,"Contenido y mediación humana clave; herramientas digitales enriquecen recursos."
Pedagogía en Matemáticas,3,9,7,-1.2,Expansión y crecimiento / Bajo riesgo,"Matemáticas;Estadística","Pedagogía;Ingeniería",,,,"Explicación pedagógica y resolución de dudas requieren humano; IA asiste con ejercicios personalizados."
Pedagogía en Ciencias Naturales,3,9,7,-1.4,Expansión y crecimiento / Bajo riesgo,"Biología;Química","Pedagogía;Tecnología Médica",,,,"Prácticas y experimentación guiada son humanas; IA apoya simulaciones y material."
Pedagogía en Artes Visuales,3,8,6,-0.8,Oportunidad controlada / Acelerador,"Arte;Diseño Gráfico","Psicología;Pedagogía",,,,"Creatividad y crítica artísticas dominan; IA genera imágenes pero contexto y enseñanza requieren humano."
Pedagogía en Música,2,9,6,-1.6,Expansión y crecimiento / Bajo riesgo,"Música;Educación Musical","Arte;Pedagogía",,,,"Desarrollo musical y práctica presencial requieren interacción humana; IA como herramienta de práctica y análisis."
Educación Diferencial,2,10,6,-3.2,Expansión y crecimiento / Bajo riesgo,"Pedagogía Especial;Intervención","Psicopedagogía;Trabajo Social",,,,"Adaptaciones individuales y vínculo son esenciales; IA apoya herramientas y seguimiento."
Orientación Educacional,2,10,6,-2.0,Expansión y crecimiento / Bajo riesgo,"Psicopedagogía;Consejería","Psicología;Trabajo Social",,,,"Acompañamiento emocional y vocacional difícil de automatizar; IA apoya diagnóstico y recursos."
Contador Auditor,6,5,8,1.8,Alta reconversión / Riesgo moderado,"Auditoría;Contabilidad Financiera","Control de Gestión;Impuestos",,,,"Tareas repetitivas y reportes automatizables; juicio profesional y ética mantienen rol humano."
Administración de Empresas,5,6,8,0.9,Transformación híbrida / Co-piloto,"Gestión;Administración Pública","Ingeniería Comercial;Marketing",,,,"Procesos administrativos automatizables; estrategia y liderazgo requieren humanos."
Administración Pública,5,6,7,0.7,Transformación híbrida / Co-piloto,"Políticas Públicas;Gestión Municipal","Derecho;Administración",,,,"Trámites y gestión digital aumentan; gobernanza y legitimidad requieren humanos."
Economía,5,6,8,0.5,Transformación híbrida / Co-piloto,"Econometría;Políticas Públicas","Finanzas;Estadística",,,,"Modelos y análisis automatizables; interpretación y política económica requieren juicio humano."
Auditoría,6,5,8,1.9,Alta reconversión / Riesgo moderado,"Control Interno;Auditoría Financiera","Contador Auditor;Control de Gestión",,,,"Procedimientos sistemáticos pueden automatizarse; juicio y ética en hallazgos siguen humanos."
Control de Gestión,6,5,8,1.5,Alta reconversión / Riesgo moderado,"Planificación Estratégica;Finanzas","Administración;Contabilidad",,,,"Reporting y monitoreo automatizables; análisis estratégico requiere humano."
Logística y Transporte,6,5,8,1.6,Alta reconversión / Riesgo moderado,"Gestión Logística;Supply Chain","Ingeniería Industrial;Comercio Internacional",,,,"Ruteo y operaciones muy automatizables; coordinación, negociación y campo requieren humanos."
Marketing,5,6,8,1.2,Alta reconversión / Riesgo moderado,"Publicidad;Comunicación","Diseño Gráfico;Data Analytics",,,,"Campañas y targeting automatizables; creatividad y estrategia siguen humanas."
Ingeniería en Finanzas,6,5,8,1.3,Alta reconversión / Riesgo moderado,"Finanzas Cuantitativas;Riesgos","Economía;Actuaría",,,,"Modelos financieros automatizables; supervisión y regulación requieren humanos."
Actuaría,6,5,9,1.0,Alta reconversión / Riesgo moderado,"Matemáticas Aplicadas;Riesgos","Estadística;Finanzas",,,,"Cálculo y modelado automatizables; interpretación, regulación y comunicación humana necesaria."
Comercio Internacional,6,5,8,1.4,Alta reconversión / Riesgo moderado,"Logística;Negocios Internacionales","Derecho;Economía",,,,"Operaciones y documentación automatizables; negociación y relaciones internacionales requieren humanos."
Gestión de Turismo,5,6,7,0.8,Transformación híbrida / Co-piloto,"Gestión Hotelera;Operaciones Turísticas","Marketing;Comercio Internacional",,,,"Reservas y recomendación automatizables; experiencia y servicio mantienen componente humano."
