"Profesión","A_t (Automatización)","R_h (Habilidades Humanas)","C_i (Integración)","ISIA (5 años)","Categoría de Impacto","Profesiones equivalentes (Núcleo)","Profesiones equivalentes (Complementarias)","SIES/CNED Núcleo","CINE-F Núcleo","SIES/CNED Complementarias","CINE-F Complementarias","Explicación de Valores"
"Medicina",4,9,9,-7.0,"Expansión y crecimiento / Bajo riesgo","Enfermería, Odontología, Kinesiología","Bioquímica, Ingeniería Biomédica, Psicología","N/A","N/A","N/A","N/A","A_t (4) es moderada (diagnóstico, análisis de imágenes), pero R_h (9) es máxima (juicio ético, empatía, cirugía). C_i (9) es altísima como co-piloto de diagnóstico. ISIA (-7.0) es de Expansión; la IA potencia al médico, no lo sustituye."
"Enfermería",3,10,7,-6.5,"Expansión y crecimiento / Bajo riesgo","Medicina, Terapia Ocupacional, Obstetricia","Psicología, Trabajo Social, Nutrición","N/A","N/A","N/A","N/A","A_t (3) es muy baja; el núcleo es el cuidado físico y empático. R_h (10) es máxima. C_i (7) ayuda en gestión de pacientes y monitoreo. ISIA (-6.5) es de Expansión, la demanda de cuidado humano crece."
"Odontología",3,8,8,-5.0,"Expansión y crecimiento / Bajo riesgo","Medicina, Técnico Dental","Ingeniería en Materiales (prótesis), Diseño Industrial","N/A","N/A","N/A","N/A","A_t (3) es baja; el trabajo es 99% destreza manual fina. R_h (8) es alta por la habilidad física y el juicio clínico. C_i (8) es alta para diagnóstico por imagen y diseño de implantes. ISIA (-5.0) es de Expansión."
"Psicología",5,10,8,-6.0,"Expansión y crecimiento / Bajo riesgo","Psiquiatría (Medicina), Terapia Ocupacional, Trabajo Social","Sociología, Filosofía, Recursos Humanos","N/A","N/A","N/A","N/A","A_t (5) puede automatizar tests y triaje básico, pero R_h (10) es el núcleo (terapia, empatía, alianza terapéutica). C_i (8) es alta para apoyo en diagnóstico y seguimiento. ISIA (-6.0) es de Expansión."
"Tecnología Médica",7,5,9,1.0,"Transformación híbrida / Co-piloto","Bioquímica, Química y Farmacia, Enfermería","Ingeniería en Informática (Bioinformática), Física Médica","N/A","N/A","N/A","N/A","A_t (7) es alta; el análisis de muestras e imágenes es muy automatizable. R_h (5) se centra en la validación, calibración y juicio crítico. C_i (9) es total. ISIA (1.0) es Híbrido, el rol cambia de 'hacer' a 'supervisar' la IA."
"Kinesiología",3,9,7,-5.5,"Expansión y crecimiento / Bajo riesgo","Terapia Ocupacional, Medicina, Educación Física","Psicología (dolor crónico), Ingeniería Biomédica (prótesis)","N/A","N/A","N/A","N/A","A_t (3) es muy baja; el trabajo es físico, táctil y de rehabilitación personalizada. R_h (9) es altísima (confianza, motivación, tacto). C_i (7) para análisis de movimiento y planes de ejercicio. ISIA (-5.5) es de Expansión."
"Fonoaudiología",4,9,8,-4.5,"Expansión y crecimiento / Bajo riesgo","Psicología, Terapia Ocupacional, Pedagogía en Lenguaje","Lingüística, Música (voz), Odontología (deglución)","N/A","N/A","N/A","N/A","A_t (4) puede apoyar en análisis de voz o patrones, pero R_h (9) es clave en la terapia directa, adaptación y empatía. C_i (8) como herramienta de práctica y diagnóstico. ISIA (-4.5) es de Expansión."
"Nutrición y Dietética",6,7,8,-1.0,"Oportunidad controlada / Acelerador","Ingeniería en Alimentos, Gastronomía, Medicina","Psicología (TCA), Kinesiología, Bioquímica","N/A","N/A","N/A","N/A","A_t (6) es alta para crear planes dietéticos estándar basados en datos. R_h (7) es clave para la adherencia, educación y empatía. C_i (8) es alta para personalizar planes. ISIA (-1.0) es Oportunidad; la IA hace el plan base, el nutricionista lo ajusta y humaniza."
"Obstetricia y Puericultura",3,10,7,-6.0,"Expansión y crecimiento / Bajo riesgo","Enfermería, Medicina (Ginecología), Kinesiología (piso pélvico)","Psicología (perinatal), Trabajo Social","N/A","N/A","N/A","N/A","A_t (3) es casi nula; el rol es de acompañamiento físico y emocional directo. R_h (10) es máxima. C_i (7) para monitoreo fetal y gestión. ISIA (-6.0) es de Expansión, rol insustituible."
"Terapia Ocupacional",3,10,7,-6.2,"Expansión y crecimiento / Bajo riesgo","Kinesiología, Psicología, Educación Diferencial","Trabajo Social, Diseño Industrial (adaptaciones), Enfermería","N/A","N/A","N/A","N/A","A_t (3) es muy baja. El rol se basa en adaptar el entorno y la actividad a la persona (creatividad, empatía). R_h (10) es máxima. C_i (7) para evaluar entornos o diseñar ayudas. ISIA (-6.2) es de Expansión."
