Profesión,A_t,R_h,C_i,ISIA_5años,Categoría_Impacto,Profesiones_Núcleo,Profesiones_Complementarias,SIES_CNED_Núcleo,CINE_F_Núcleo,SIES_CNED_Complementarias,CINE_F_Complementarias,Explicación_Valores
Medicina,3,10,8,-6.6,Expansión y crecimiento,"Enfermería, Kinesiología, Tecnología Médica","Psicología, Nutrición, Bioquímica","0912, 0913, 0915","0912, 0913, 0915","0313, 0916, 0511","0313, 0916, 0511","A_t bajo: diagnóstico requiere juicio humano complejo. R_h máximo: empatía y toma de decisiones vitales. C_i alto: IA como apoyo diagnóstico. ISIA negativo: creciente demanda por envejecimiento poblacional."
Enfermería,4,9,7,-4.2,Expansión y crecimiento,"Medicina, Tecnología Médica, Kinesiología","Trabajo Social, Psicología, Nutrición","0912, 0913, 0915","0912, 0913, 0915","0923, 0313, 0916","0923, 0313, 0916","A_t bajo-medio: tareas repetitivas automatizables pero cuidado requiere presencia. R_h muy alto: empatía esencial. C_i alto: monitoreo con IA. ISIA negativo: déficit de enfermeros aumenta demanda."
Odontología,4,8,7,-3.8,Expansión y crecimiento,"Medicina, Tecnología Médica","Kinesiología, Ingeniería en Biotecnología","0912, 0915","0912, 0915","0913, 0711","0913, 0711","A_t medio: algunos procedimientos robotizables. R_h alto: requiere destreza manual y comunicación. C_i alto: imagenología con IA. ISIA negativo: mayor acceso a salud dental."
Psicología,3,10,7,-5.5,Expansión y crecimiento,"Trabajo Social, Psicopedagogía, Terapia Ocupacional","Sociología, Educación Diferencial, Filosofía","0313, 0114, 0916","0313, 0114, 0916","0314, 0113, 0223","0314, 0113, 0223","A_t bajo: terapia requiere conexión humana profunda. R_h máximo: empatía y escucha activa críticas. C_i alto: herramientas de evaluación con IA. ISIA negativo: crisis de salud mental aumenta demanda."
Tecnología Médica,5,7,8,-2.5,Oportunidad controlada,"Enfermería, Bioquímica, Medicina","Ingeniería en Biotecnología, Química, Física","0913, 0511, 0912","0913, 0511, 0912","0711, 0531, 0533","0711, 0531, 0533","A_t medio: análisis de laboratorio automatizable. R_h alto: interpretación de resultados complejos. C_i muy alto: sistemas automatizados de análisis. ISIA negativo leve: eficiencia aumenta capacidad."
Kinesiología,3,9,7,-4.8,Expansión y crecimiento,"Terapia Ocupacional, Medicina, Educación Física","Nutrición, Psicología, Enfermería","0916, 0912, 1014","0916, 0912, 1014","0916, 0313, 0913","0916, 0313, 0913","A_t bajo: requiere contacto físico y adaptación individualizada. R_h muy alto: motivación y adaptación a cada paciente. C_i alto: sensores y análisis de movimiento. ISIA negativo: envejecimiento y vida activa."
Fonoaudiología,3,9,6,-4.2,Expansión y crecimiento,"Psicopedagogía, Educación Diferencial, Terapia Ocupacional","Psicología, Medicina, Lingüística","0916, 0114, 0113","0916, 0114, 0113","0313, 0912, 0232","0313, 0912, 0232","A_t bajo: terapia del habla requiere interacción personalizada. R_h muy alto: paciencia y adaptación individual. C_i medio: apps de apoyo limitadas. ISIA negativo: conciencia sobre trastornos del lenguaje."
Nutrición y Dietética,5,8,8,-2.8,Oportunidad controlada,"Medicina, Química, Gastronomía","Psicología, Biología, Agronomía","0916, 0531, 1015","0916, 0531, 1015","0313, 0511, 0811","0313, 0511, 0811","A_t medio: planes alimenticios algoritmizables. R_h alto: motivación y adherencia requieren empatía. C_i muy alto: apps de seguimiento nutricional. ISIA negativo leve: tendencia wellness y prevención."
Obstetricia y Puericultura,3,9,7,-5.2,Expansión y crecimiento,"Enfermería, Medicina, Matronería","Psicología, Trabajo Social, Kinesiología","0913, 0912","0913, 0912","0313, 0923, 0916","0313, 0923, 0916","A_t bajo: atención prenatal y parto requieren presencia humana. R_h muy alto: acompañamiento emocional crítico. C_i alto: monitoreo fetal con IA. ISIA negativo: políticas pro-natalidad y cuidado materno."
Terapia Ocupacional,3,9,6,-4.5,Expansión y crecimiento,"Kinesiología, Psicología, Fonoaudiología","Trabajo Social, Educación Diferencial, Enfermería","0916, 0313, 0916","0916, 0313, 0916","0923, 0113, 0913","0923, 0113, 0913","A_t bajo: rehabilitación personalizada y adaptativa. R_h muy alto: creatividad para adaptaciones individuales. C_i medio: dispositivos asistivos con sensores. ISIA negativo: envejecimiento y accidentes aumentan necesidad."
Química y Farmacia,5,6,8,-1.5,Oportunidad controlada,"Bioquímica, Química, Ingeniería Química","Medicina, Biología, Ingeniería en Alimentos","0531, 0511, 0711","0531, 0511, 0711","0912, 0511, 0541","0912, 0511, 0541","A_t medio: dispensación automatizable pero requiere validación. R_h medio-alto: asesoría farmacéutica. C_i muy alto: sistemas de gestión y dosificación. ISIA negativo leve: envejecimiento aumenta consumo."
