Profesión;A_t;R_h;C_i;ISIA (5 años);Categoría de Impacto;Profesiones equivalentes (Núcleo);Profesiones equivalentes (Complementarias);SIES/CNED Núcleo;CINE-F Núcleo;SIES/CNED Complementarias;CINE-F Complementarias;Explicación de Valores
Medicina;3;9;8;-7.0;Expansión y crecimiento / Bajo riesgo;Cirugía; Pediatría; Medicina Interna;Enfermería; Psicología; Bioquímica;0611;721;0612;0613;0614;723;731;721;La medicina requiere un alto grado de habilidades humanas como la empatía y el juicio clínico que son difíciles de automatizar. Aunque la IA puede apoyar en el diagnóstico y análisis de datos, la relación médico-paciente y la toma de decisiones complejas mantienen bajo el riesgo de automatización. El ISIA negativo indica que la IA creará oportunidades de crecimiento en este campo.
Enfermería;4;9;7;-5.5;Expansión y crecimiento / Bajo riesgo;Obstetricia; Cuidados Paliativos; Enfermería Especializada;Medicina; Trabajo Social; Nutrición;0612;723;0611;0622;0615;721;763;724;La enfermería combina tareas técnicas con un fuerte componente humano. Aunque algunas tareas administrativas y de monitoreo pueden automatizarse, el cuidado directo del paciente requiere habilidades humanas esenciales. La IA puede apoyar en el monitoreo y gestión de historiales, pero no reemplaza la necesidad de enfermeros humanos, especialmente en el cuidado directo.
Odontología;5;7;8;-4.0;Expansión y crecimiento / Bajo riesgo;Cirugía Maxilofacial; Ortodoncia; Periodoncia;Medicina; Kinesiología; Tecnología Médica;0616;722;0611;0617;0618;721;724;725;La odontología combina habilidades técnicas manuales con conocimiento científico. Aunque algunos procedimientos diagnósticos y de planificación pueden asistirse con IA, la destreza manual y la relación con el paciente son componentes críticos difíciles de automatizar. La integración con IA puede mejorar la precisión diagnóstica pero no reemplaza al profesional.
Psicología;2;10;6;-8.0;Expansión y crecimiento / Bajo riesgo;Psicoterapia; Neuropsicología; Psicología Clínica;Trabajo Social; Psiquiatría; Pedagogía;0613;731;0622;0611;0621;763;721;741;La psicología se basa fundamentalmente en la relación terapéutica y habilidades humanas como la empatía, la escucha activa y el juicio clínico. Estas capacidades son intrínsecamente difíciles de automatizar. Aunque la IA puede proporcionar herramientas de análisis y seguimiento, el núcleo de la profesión permanecerá fuertemente humano, lo que resulta en un ISIA altamente negativo que indica oportunidades de crecimiento.
Tecnología Médica;6;6;9;-2.0;Oportunidad controlada / Acelerador;Bioquímica; Laboratorio Clínico; Imagenología;Medicina; Enfermería; Farmacia;0618;725;0611;0612;0619;721;723;724;La tecnología médica implica análisis técnicos que pueden beneficiarse significativamente de la automatización y la IA. Sin embargo, la interpretación de resultados complejos y la toma de decisiones en casos atípicos requieren juicio humano. La alta integración con IA como herramienta de apoyo permite mejorar la precisión y eficiencia, transformando la profesión más que reemplazándola.
Kinesiología;4;8;7;-5.0;Expansión y crecimiento / Bajo riesgo;Terapia Física; Rehabilitación; Fisiatría;Medicina; Enfermería; Terapia Ocupacional;0617;724;0611;0612;0620;721;723;724;La kinesiología combina habilidades manuales especializadas con conocimiento científico y relación terapéutica. Aunque algunas evaluaciones y seguimientos pueden asistirse con tecnología, la manipulación física y la adaptación de tratamientos a las respuestas individuales de los pacientes requieren habilidades humanas esenciales. La IA puede mejorar el seguimiento y la planificación, pero no reemplaza la intervención humana directa.
Fonoaudiología;3;9;6;-6.0;Expansión y crecimiento / Bajo riesgo;Terapia del Lenguaje; Audiología; Logopedia;Psicología; Pedagogía; Neurología;0621;724;0613;0621;0611;731;741;721;La fonoaudiología se basa en la evaluación clínica y la relación terapéutica para tratar trastornos de la comunicación. Requiere habilidades humanas como la escucha activa, la adaptación terapéutica y la empatía que son difíciles de automatizar. Aunque la IA puede proporcionar herramientas de apoyo diagnóstico y seguimiento, el núcleo de la profesión permanece fuertemente humano, lo que resulta en un ISIA negativo que indica oportunidades de crecimiento.
Nutrición y Dietética;5;7;8;-3.0;Oportunidad controlada / Acelerador;Dietética; Nutrición Clínica; Alimentación Saludable;Medicina; Enfermería; Gastronomía;0615;724;0611;0612;0623;721;723;811;La nutrición y dietética combina conocimiento científico con asesoramiento personalizado. Aunque algunas tareas de análisis y planificación dietética pueden automatizarse con IA, el seguimiento personalizado, la motivación y la adaptación a necesidades individuales requieren habilidades humanas. La alta integración con IA puede mejorar la precisión de las recomendaciones, pero el componente humano de la profesión mantiene bajo el riesgo de automatización.
Obstetricia y Puericultura;4;9;7;-5.5;Expansión y crecimiento / Bajo riesgo;Enfermería Obstétrica; Ginecología; Neonatología;Medicina; Psicología; Pedagogía;0612;723;0611;0613;0621;721;731;741;La obstetricia y puericultura combina habilidades técnicas con un fuerte componente de cuidado humano y apoyo emocional. Aunque algunas tareas de monitoreo pueden automatizarse, la atención directa durante el parto y el cuidado de recién nacidos requiere habilidades humanas esenciales. La IA puede apoyar en el diagnóstico y seguimiento, pero no reemplaza la necesidad de profesionales humanos en esta área.
Terapia Ocupacional;3;9;6;-6.0;Expansión y crecimiento / Bajo riesgo;Rehabilitación Funcional; Terapia Física; Psicomotricidad;Psicología; Kinesiología; Pedagogía Especial;0620;724;0613;0617;0624;731;724;741;La terapia ocupacional se basa en la evaluación individualizada y la adaptación creativa de actividades terapéuticas. Requiere habilidades humanas como la observación clínica, la empatía y la capacidad de adaptación que son difíciles de automatizar. Aunque la IA puede proporcionar herramientas de apoyo en evaluación y seguimiento, el núcleo de la profesión permanece fuertemente humano, lo que resulta en un ISIA negativo que indica oportunidades de crecimiento.
