Profesión,A_t,R_h,C_i,ISIA (5 años),Categoría de Impacto,Profesiones equivalentes (Núcleo),Profesiones equivalentes (Complementarias),SIES/CNED Núcleo,CINE-F Núcleo,SIES/CNED Complementarias,CINE-F Complementarias,Explicación de Valores
Medicina,3,9,8,-6.6,Expansión y crecimiento,"Medicina Veterinaria, Kinesiología, Odontología","Bioquímica, Estadística, Ingeniería en Biotecnología",0910,0912,0912,0912,"A_t: 3 (Diagnóstico asistido por IA, pero procedimientos y juicio clínico son humanos). R_h: 9 (Relación médico-paciente, empatía, juicio ético). C_i: 8 (IA como herramienta de diagnóstico, análisis de imágenes, gestión de historiales). ISIA: -6.6 (La IA aumentará las capacidades del médico, creando demanda)."
Enfermería,4,9,7,-5.8,Expansión y crecimiento,"Obstetricia y Puericultura, Kinesiología, Terapia Ocupacional","Psicología, Trabajo Social, Nutrición y Dietética",0912,0913,0913,0913,"A_t: 4 (Monitoreo automatizado, pero cuidado físico y emocional es crucial). R_h: 9 (Empatía, cuidado, apoyo emocional, trabajo en equipo). C_i: 7 (IA para monitoreo de signos, gestión de dosis, logística hospitalaria). ISIA: -5.8 (La IA libera tiempo para tareas de mayor valor humano, aumentando la eficiencia del sector)."
Odontología,4,8,7,-5.2,Expansión y crecimiento,"Medicina, Tecnología Médica, Química y Farmacia","Diseño Industrial, Ingeniería en Materiales",0910,0914,0914,0914,"A_t: 4 (IA en diagnóstico por imágenes, pero trabajo manual y precisión son clave). R_h: 8 (Relación dentista-paciente, coordinación motora fina). C_i: 7 (IA para planificación de tratamientos, diseño de implantes). ISIA: -5.2 (La IA mejora la precisión diagnóstica y la planificación, potenciando la profesión)."
Psicología,2,9,6,-6.8,Expansión y crecimiento,"Psicopedagogía, Trabajo Social, Terapia Ocupacional","Filosofía, Sociología, Neurociencias",0913,0913,0913,0913,"A_t: 2 (Chatbots básicos, pero la terapia profunda y la interacción humana son irreemplazables). R_h: 9 (Empatía, escucha activa, intuición, adaptación al paciente). C_i: 6 (IA para herramientas de apoyo, psicoeducación, gestión de casos). ISIA: -6.8 (La IA no sustituye la relación terapéutica, pero puede crear herramientas de apoyo, aumentando el acceso a la salud mental)."
Tecnología Médica,6,7,8,-3.5,Oportunidad controlada,"Bioquímica, Química y Farmacia, Ingeniería en Biotecnología","Ingeniería en Informática, Estadística",0912,0912,0912,0912,"A_t: 6 (Análisis de muestras muy automatizable, pero interpretación y control de calidad requieren humanos). R_h: 7 (Juicio analítico, atención al detalle, trabajo en equipo con médicos). C_i: 8 (IA para análisis automatizado de imágenes y datos de laboratorio). ISIA: -3.5 (La IA automatizará tareas rutinarias, pero la demanda por análisis complejos y supervisión humana crecerá)."
Kinesiología,3,8,7,-5.5,Expansión y crecimiento,"Terapia Ocupacional, Enfermería, Medicina Veterinaria","Psicología, Diseño Industrial (prótesis)",0914,0914,0914,0914,"A_t: 3 (Robots de rehabilitación existen, pero evaluación y terapia manual son humanas). R_h: 8 (Habilidades manuales, empatía, motivación del paciente). C_i: 7 (IA para análisis de movimiento, planes de rehabilitación personalizados). ISIA: -5.5 (La IA permite terapias más personalizadas y seguimiento remoto, expandiendo el rol del kinesiólogo)."
Fonoaudiología,3,8,6,-5.0,Expansión y crecimiento,"Pedagogía en Educación Diferencial, Psicopedagogía, Terapia Ocupacional","Lingüística, Psicología",0915,0915,0915,0915,"A_t: 3 (Apps de apoyo, pero diagnóstico y terapia son intensivos en interacción humana). R_h: 8 (Comunicación interpersonal, paciencia, creatividad en terapias). C_i: 6 (IA para desarrollo de software de apoyo al habla y lenguaje). ISIA: -5.0 (La IA como herramienta de apoyo en terapia, no como reemplazo. Crea nuevas oportunidades en telefonoaudiología)."
Nutrición y Dietética,5,7,7,-3.0,Oportunidad controlada,"Química y Farmacia, Agronomía, Ingeniería en Alimentos","Psicología, Trabajo Social, Marketing",0916,0916,0916,0916,"A_t: 5 (Apps de planificación dietética, pero consultoría personalizada y educación son humanas). R_h: 7 (Empatía, consejo conductual, educación). C_i: 7 (IA para análisis de composición corporal, planes dietéticos personalizados basados en big data). ISIA: -3.0 (La IA automatiza la creación de dietas genéricas, pero el asesoramiento personalizado y conductual gana valor)."
Obstetricia y Puericultura,4,9,6,-5.2,Expansión y crecimiento,"Enfermería, Medicina, Psicología","Trabajo Social, Sociología",0912,0912,0912,0912,"A_t: 4 (Monitoreo fetal, pero parto y apoyo emocional son irreemplazablemente humanos). R_h: 9 (Apoyo emocional, empatía, manejo de situaciones críticas). C_i: 6 (IA para monitoreo de signos vitales materno-fetales). ISIA: -5.2 (La IA es una herramienta de soporte, el núcleo humano del cuidado prenatal y postnatal se mantiene y valora)."
Terapia Ocupacional,3,9,6,-5.7,Expansión y crecimiento,"Kinesiología, Psicología, Fonoaudiología","Diseño Industrial, Arquitectura (accesibilidad)",0917,0917,0917,0917,"A_t: 3 (Herramientas de evaluación, pero la terapia personalizada es profundamente humana). R_h: 9 (Creatividad, adaptación, empatía, motivación). C_i: 6 (IA para diseño de entornos y herramientas adaptativas, análisis de progreso). ISIA: -5.7 (La IA ayuda a personalizar las terapias y crear soluciones, pero la interacción terapéutica es central)."
