

Categoría,Clasificación general de la profesión,Número,Profesión,Empleabilidad al 1° Año,Sueldo Promedio 4° Año,Sector,A_t_scaled,R_h_scaled,C_i_scaled,ISIA_new,Categoría de Riesgo_new,Demanda Anual Actual,Demanda Anual Proyectada en 5 años con adopción de IA,Oferta Actual,Recomendación de Estudio,Cambios Curriculares IA,Tendencia de Empleo (5 años),Nivel de Digitalización Actual,Adaptabilidad a IA (A_i),Requerimiento de Reentrenamiento (%),Satisfacción Laboral Promedio,Nivel de Educación Requerido,Duración Promedio de la Carrera (años),Edad Promedio de Ingreso Laboral,Brecha de Género Laboral (%),Remuneración IA-Optimizada (Proyección),Remuneración con Desplazamiento por IA (Proyección),Probabilidad de Sustitución por IA (%),Índice de Creatividad Requerida,Índice de Interacción Humana,IA como Complemento (%),IA como Sustituto (%),Tasa de Innovación del Sector,Demanda Global Estimada (5 años),Nivel de Regulación/Ética Relevante,Índice de Estabilidad Laboral,Empleabilidad en 5 años,Empleabilidad en 10 años,Empleabilidad en 15 años,Demanda Anual en 5 años,Demanda Anual en 10 años,Demanda Anual en 15 años,Sueldo Promedio 4° Año en 5 años,Sueldo Promedio 4° Año en 10 años,Sueldo Promedio 4° Año en 15 años
Universitaria,Salud,1,Médico Cirujano,85,2500000,Salud,3.5,9.5,9.2,2.1,Oportunidad controlada,3500,3800,3200,Recomendado,Integración de diagnóstico asistido por IA,Aumento,7.5,6.5,15,85,Universitaria,7,25,15,2800000,2600000,15,8.2,9.5,85,15,7.5,Alta,8.5,8.5,90,85,75,3900,4100,4200,2800000,3000000,3200000
Universitaria,Tecnología,2,Ingeniero Civil Informática,90,2200000,Tecnología,6.0,7.5,8.8,1.5,Expansión y crecimiento,2800,3500,2500,Recomendado,Enfoque en desarrollo de sistemas de IA,Aumento,9.5,9.0,10,80,Universitaria,6,24,20,2500000,2800000,20,7.8,6.5,75,25,9.0,Alta,7.0,8.0,95,90,85,3500,4200,4800,2500000,2800000,3100000
Universitaria,Educación,3,Profesor de Educación General Básica,70,1200000,Educación,5.5,8.5,7.0,-1.2,Transformación híbrida,5000,4500,5500,Recomendado con especialización,Incorporación de herramientas educativas IA,Estable,6.0,5.5,40,75,Universitaria,5,24,25,1250000,1100000,35,7.0,9.0,70,30,6.5,Media,7.5,7.0,75,65,60,4500,4000,3500,1250000,1300000,1350000
Universitaria,Finanzas,4,Contador Auditor,80,1500000,Finanzas,8.0,6.0,6.5,-2.5,Riesgo crítico,4000,3000,4200,Con precaución,Enfoque en análisis financiero avanzado,Disminución,7.5,4.0,60,70,Universitaria,5,24,30,1450000,1200000,65,5.5,5.0,40,60,7.0,Alta,8.0,6.5,65,50,40,3000,2500,2000,1450000,1400000,1350000
Técnica,Salud,5,Técnico en Enfermería,85,900000,Salud,4.5,8.0,6.0,0.5,Oportunidad controlada,8000,8500,7500,Recomendado,Manejo de equipos médicos automatizados,Aumento,6.5,6.0,25,80,Técnica,3,22,10,950000,900000,25,6.0,8.5,80,20,6.0,Media,7.0,8.0,90,85,80,8500,9000,9500,950000,1000000,1050000
Universitaria,Legal,6,Abogado,75,1800000,Legal,5.0,8.0,8.2,-0.8,Transformación híbrida,3500,3200,3600,Recomendado con especialización,Análisis legal asistido por IA,Estable,6.0,5.0,35,75,Universitaria,6,26,35,1850000,1750000,30,7.5,8.0,75,25,6.0,Alta,8.5,7.5,80,75,70,3200,3000,2800,1850000,1900000,1950000
Técnica,Diseño,7,Diseñador Gráfico,70,1100000,Diseño,7.0,6.5,7.0,-1.8,Alta reconversión,3000,2200,3200,Con precaución,Especialización en diseño UX/UI y dirección creativa,Disminución,8.0,4.5,55,65,Técnica,3,23,40,1050000,850000,60,8.0,6.0,45,55,8.5,Media,6.0,6.5,60,50,40,2200,2000,1800,1050000,1100000,1150000
Universitaria,Ingeniería,8,Ingeniero Civil Industrial,85,2000000,Industria,6.5,7.0,8.0,-0.5,Transformación híbrida,2500,2300,2600,Recomendado,Análisis de datos y optimización de procesos con IA,Estable,8.0,6.5,30,75,Universitaria,6,24,25,2050000,1900000,40,7.0,6.5,65,35,7.5,Alta,7.0,7.5,85,80,75,2300,2200,2100,2050000,2100000,2150000
Universitaria,Salud Mental,9,Psicólogo,75,1400000,Salud Mental,2.5,9.0,8.5,2.5,Oportunidad controlada,3200,3500,3000,Recomendado,Integración de terapias asistidas con IA,Aumento,5.5,7.0,20,85,Universitaria,6,25,20,1500000,1650000,15,8.5,9.5,90,10,6.0,Alta,8.0,8.5,90,88,85,3500,3800,4000,1500000,1600000,1700000
Técnica,Tecnología,10,Técnico en Programación,85,1300000,Tecnología,7.5,6.0,7.0,-1.2,Riesgo crítico,4500,3500,4800,Con precaución,Especialización en desarrollo de aplicaciones complejas,Disminución,9.0,5.0,50,70,Técnica,3,22,35,1250000,1000000,70,6.5,5.5,40,60,9.0,Alta,6.5,6.0,65,55,45,3500,3000,2500,1250000,1300000,1350000
